sex,age,calyr,risk_score,popn,cases,rate
1,58,1997,1,250232,1185,473.561
1,58,1997,2,250232,120,47.955
1,58,1997,3,250232,0,0
1,59,1997,1,248376,1210,487.165
1,59,1997,2,248376,130,52.34
1,59,1997,3,248376,0,0
1,60,1997,1,242292,1263,521.272
1,60,1997,2,242292,129,53.242
1,60,1997,3,242292,0,0
1,61,1997,1,234844,1297,552.282
1,61,1997,2,234844,139,59.188
1,61,1997,3,234844,0,0
1,62,1997,1,228420,1375,601.961
1,62,1997,2,228420,146,63.917
1,62,1997,3,228420,0,0
1,63,1997,1,218645,1410,644.881
1,63,1997,2,218645,155,70.891
1,63,1997,3,218645,0,0
1,64,1997,1,216096,1426,659.892
1,64,1997,2,216096,184,85.147
1,64,1997,3,216096,1,0.463
1,65,1997,1,217709,1628,747.787
1,65,1997,2,217709,187,85.894
1,65,1997,3,217709,0,0
1,66,1997,1,216145,1710,791.136
1,66,1997,2,216145,191,88.367
1,66,1997,3,216145,0,0
1,67,1997,1,209146,1842,880.724
1,67,1997,2,209146,208,99.452
1,67,1997,3,209146,0,0
1,68,1997,1,200898,1861,926.341
1,68,1997,2,200898,209,104.033
1,68,1997,3,200898,0,0
1,69,1997,1,193912,1997,1029.849
1,69,1997,2,193912,192,99.014
1,69,1997,3,193912,0,0
1,70,1997,1,190502,2124,1114.949
1,70,1997,2,190502,244,128.083
1,70,1997,3,190502,0,0
1,71,1997,1,185504,2205,1188.654
1,71,1997,2,185504,235,126.682
1,71,1997,3,185504,1,0.539
1,72,1997,1,176436,2347,1330.227
1,72,1997,2,176436,224,126.958
1,72,1997,3,176436,1,0.567
1,73,1997,1,168853,2399,1420.762
1,73,1997,2,168853,242,143.32
1,73,1997,3,168853,0,0
1,74,1997,1,162073,2560,1579.535
1,74,1997,2,162073,256,157.954
1,74,1997,3,162073,0,0
1,75,1997,1,160723,2629,1635.734
1,75,1997,2,160723,291,181.057
1,75,1997,3,160723,0,0
1,76,1997,1,158003,2866,1813.89
1,76,1997,2,158003,301,190.503
1,76,1997,3,158003,3,1.899
1,77,1997,1,152147,3010,1978.35
1,77,1997,2,152147,313,205.722
1,77,1997,3,152147,0,0
1,78,1997,1,98123,2141,2181.955
1,78,1997,2,98123,212,216.055
1,78,1997,3,98123,0,0
1,79,1997,1,83092,1972,2373.273
1,79,1997,2,83092,184,221.441
1,79,1997,3,83092,1,1.203
1,80,1997,1,85630,2184,2550.508
1,80,1997,2,85630,192,224.22
1,80,1997,3,85630,0,0
1,81,1997,1,82770,2383,2879.062
1,81,1997,2,82770,222,268.213
1,81,1997,3,82770,0,0
1,82,1997,1,78245,2508,3205.317
1,82,1997,2,78245,220,281.168
1,82,1997,3,78245,2,2.556
1,83,1997,1,69697,2448,3512.346
1,83,1997,2,69697,221,317.087
1,83,1997,3,69697,0,0
1,84,1997,1,60159,2249,3738.427
1,84,1997,2,60159,201,334.115
1,84,1997,3,60159,1,1.662
1,85,1997,1,50526,2197,4348.256
1,85,1997,2,50526,226,447.294
1,85,1997,3,50526,0,0
1,86,1997,1,41513,1820,4384.169
1,86,1997,2,41513,161,387.83
1,86,1997,3,41513,1,2.409
1,87,1997,1,34769,1660,4774.368
1,87,1997,2,34769,161,463.056
1,87,1997,3,34769,0,0
1,88,1997,1,27942,1495,5350.369
1,88,1997,2,27942,145,518.932
1,88,1997,3,27942,0,0
1,89,1997,1,22134,1253,5660.974
1,89,1997,2,22134,135,609.921
1,89,1997,3,22134,0,0
1,90,1997,1,17417,1004,5764.483
1,90,1997,2,17417,82,470.804
1,90,1997,3,17417,0,0
1,91,1997,1,12820,809,6310.452
1,91,1997,2,12820,55,429.017
1,91,1997,3,12820,0,0
1,92,1997,1,9375,621,6624
1,92,1997,2,9375,54,576
1,92,1997,3,9375,0,0
1,93,1997,1,6557,482,7350.923
1,93,1997,2,6557,32,488.028
1,93,1997,3,6557,0,0
1,94,1997,1,4423,318,7189.69
1,94,1997,2,4423,26,587.836
1,94,1997,3,4423,0,0
1,95,1997,1,2986,231,7736.102
1,95,1997,2,2986,13,435.365
1,95,1997,3,2986,0,0
1,96,1997,1,1890,151,7989.418
1,96,1997,2,1890,10,529.101
1,96,1997,3,1890,0,0
1,97,1997,1,1232,91,7386.364
1,97,1997,2,1232,5,405.844
1,97,1997,3,1232,0,0
1,98,1997,1,626,53,8466.454
1,98,1997,2,626,1,159.744
1,98,1997,3,626,0,0
1,99,1997,1,401,29,7231.92
1,99,1997,2,401,2,498.753
1,99,1997,3,401,0,0
1,100,1997,1,241,24,9958.506
1,100,1997,2,241,0,0
1,100,1997,3,241,0,0
1,101,1997,1,109,7,6422.018
1,101,1997,2,109,0,0
1,101,1997,3,109,0,0
1,102,1997,1,71,3,4225.352
1,102,1997,2,71,0,0
1,102,1997,3,71,0,0
1,103,1997,1,31,3,9677.419
1,103,1997,2,31,1,3225.806
1,103,1997,3,31,0,0
1,104,1997,1,22,3,13636.364
1,104,1997,2,22,0,0
1,104,1997,3,22,0,0
2,5,1997,1,317274,779,245.529
2,5,1997,2,317274,15,4.728
2,5,1997,3,317274,0,0
2,6,1997,1,322406,622,192.924
2,6,1997,2,322406,10,3.102
2,6,1997,3,322406,0,0
2,7,1997,1,316379,554,175.106
2,7,1997,2,316379,9,2.845
2,7,1997,3,316379,0,0
2,8,1997,1,313565,482,153.716
2,8,1997,2,313565,8,2.551
2,8,1997,3,313565,0,0
2,9,1997,1,316441,458,144.735
2,9,1997,2,316441,11,3.476
2,9,1997,3,316441,1,0.316
2,10,1997,1,308189,371,120.381
